# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	379685
#@/user_id	hotoo.rmbp
bao lie 	爆裂	c=3 d=0 t=379685
bao liu 	保留	c=75 d=1.5662e-10 t=379685
bao lu 	暴露	c=45 d=7.73311e-06 t=379685
bao ma 	寶馬	c=4 d=3.79788e-186 t=379685
bao ma che 	寶馬車	c=1 d=5.47848e-186 t=379685
bao man 	爆滿	c=2 d=1 t=73969
bao man 	飽滿	c=1 d=4.08502e-233 t=379685
bao mi 	保密	c=3 d=1.29064e-31 t=379685
bao mi hua 	爆米花	c=1 d=0 t=379685
bao ming 	包名	c=1 d=1.10158e-138 t=379685
bao ming 	報名	c=23 d=9.87462e-29 t=379685
bao ming fei 	報名費	c=1 d=1.13746e-309 t=379685
bao nian 	包年	c=1 d=5.14926e-104 t=379685
bao nuan 	保暖	c=2 d=4.00831e-69 t=379685
bao nuan nei yi 	保暖內衣	c=1 d=0 t=379685
bao qian 	抱歉	c=20 d=5.11153e-16 t=379685
bao rong 	包容	c=6 d=4.97262e-17 t=379685
bao shai 	曝曬	c=2 d=0 t=379685
bao shan 	寶山	c=1 d=2.20463e-271 t=379685
bao shi 	報時	c=3 d=1.81762e-70 t=379685
bao shi 	飽食	c=1 d=3.42304e-300 t=379685
bao shou 	保守	c=5 d=1.12406e-78 t=379685
bao shui 	保稅	c=3 d=0 t=379685
bao shui 	報稅	c=12 d=1.32652e-177 t=379685
bao tai 	爆胎	c=3 d=8.31112e-148 t=379685
bao tian tian wu 	暴殄天物	c=1 d=7.90712e-150 t=379685
bao tiao 	暴跳	c=1 d=4.64484e-97 t=379685
bao tou 	抱頭	c=1 d=1.17587e-53 t=379685
bao wei 	包圍	c=1 d=1 t=63409
bao wen 	保溫	c=3 d=1.1926e-45 t=379685
bao wen dai 	保溫袋	c=1 d=6.88203e-46 t=379685
bao xian 	保險	c=73 d=2.3475e-35 t=379685
